"Activity" "Subject" "Measurement" "Mean"
"WALKING_UPSTAIRS" "18" "tBodyAcc-std()-X" -0.694616884972527
"WALKING_UPSTAIRS" "20" "tBodyAcc-std()-X" -0.60484669490339
"WALKING_UPSTAIRS" "24" "tBodyAcc-std()-X" -0.675459176298425
"WALKING_UPSTAIRS" "1" "tBodyAcc-std()-X" -0.584539467328931
"WALKING_DOWNSTAIRS" "1" "tBodyAcc-std()-X" -0.10438892475
"WALKING_DOWNSTAIRS" "3" "tBodyAcc-std()-X" -0.623413602046921
"WALKING_DOWNSTAIRS" "5" "tBodyAcc-std()-X" -0.507691011391722
"WALKING_DOWNSTAIRS" "6" "tBodyAcc-std()-X" -0.505086085072062
"WALKING_DOWNSTAIRS" "7" "tBodyAcc-std()-X" -0.577518324748052
"WALKING_DOWNSTAIRS" "8" "tBodyAcc-std()-X" -0.723806131323529
"SITTING" "8" "tBodyAcc-std()-X" -0.502699525770391
"SITTING" "11" "tBodyAcc-std()-X" -0.58947649779557
"SITTING" "14" "tBodyAcc-std()-X" -0.611671118216099
"SITTING" "15" "tBodyAcc-std()-X" -0.556541173089329
"SITTING" "16" "tBodyAcc-std()-X" -0.668161498298634
"SITTING" "17" "tBodyAcc-std()-X" -0.726604261136226
"STANDING" "17" "tBodyAcc-std()-X" -0.304479616925534
"STANDING" "19" "tBodyAcc-std()-X" -0.574658922919194
"STANDING" "21" "tBodyAcc-std()-X" -0.672323867377451
"STANDING" "22" "tBodyAcc-std()-X" -0.546089975548692
"STANDING" "23" "tBodyAcc-std()-X" -0.622594039757258
"STANDING" "25" "tBodyAcc-std()-X" -0.787137363888889
"LAYING" "25" "tBodyAcc-std()-X" -0.35449578219403
"LAYING" "26" "tBodyAcc-std()-X" -0.623101031168367
"LAYING" "27" "tBodyAcc-std()-X" -0.660976085218085
"LAYING" "28" "tBodyAcc-std()-X" -0.649040391307853
"LAYING" "29" "tBodyAcc-std()-X" -0.574295395364826
"LAYING" "30" "tBodyAcc-std()-X" -0.615890785389034
"WALKING" "2" "tBodyAcc-std()-Y" -0.428962986589404
"WALKING" "4" "tBodyAcc-std()-Y" -0.509929384011325
"WALKING" "9" "tBodyAcc-std()-Y" -0.5758878952125
"WALKING" "10" "tBodyAcc-std()-Y" -0.497405885644898
"WALKING" "12" "tBodyAcc-std()-Y" -0.522040023435
"WALKING" "13" "tBodyAcc-std()-Y" -0.570516379262438
"WALKING_UPSTAIRS" "13" "tBodyAcc-std()-Y" -0.254675172748413
"WALKING_UPSTAIRS" "18" "tBodyAcc-std()-Y" -0.627117507326923
"WALKING_UPSTAIRS" "20" "tBodyAcc-std()-Y" -0.369336706508757
"WALKING_UPSTAIRS" "24" "tBodyAcc-std()-Y" -0.582490655185302
"WALKING_UPSTAIRS" "1" "tBodyAcc-std()-Y" -0.39909289878558
"WALKING_DOWNSTAIRS" "1" "tBodyAcc-std()-Y" -0.0102461790107143
"WALKING_DOWNSTAIRS" "3" "tBodyAcc-std()-Y" -0.480015920697654
"WALKING_DOWNSTAIRS" "5" "tBodyAcc-std()-Y" -0.402724906078146
"WALKING_DOWNSTAIRS" "6" "tBodyAcc-std()-Y" -0.368403670137262
"WALKING_DOWNSTAIRS" "7" "tBodyAcc-std()-Y" -0.546403365345779
"WALKING_DOWNSTAIRS" "8" "tBodyAcc-std()-Y" -0.536087268205882
"SITTING" "8" "tBodyAcc-std()-Y" -0.242994007530726
"SITTING" "11" "tBodyAcc-std()-Y" -0.490379346996835
"SITTING" "14" "tBodyAcc-std()-Y" -0.374730765205077
"SITTING" "15" "tBodyAcc-std()-Y" -0.481679537956006
"SITTING" "16" "tBodyAcc-std()-Y" -0.649947067892896
"SITTING" "17" "tBodyAcc-std()-Y" -0.69873479216917
"STANDING" "17" "tBodyAcc-std()-Y" -0.228089685806311
"STANDING" "19" "tBodyAcc-std()-Y" -0.507035084992639
"STANDING" "21" "tBodyAcc-std()-Y" -0.565585190336299
"STANDING" "22" "tBodyAcc-std()-Y" -0.491188426241526
"STANDING" "23" "tBodyAcc-std()-Y" -0.532078546615699
"STANDING" "25" "tBodyAcc-std()-Y" -0.611614171529825
"LAYING" "25" "tBodyAcc-std()-Y" -0.122076968631343
"LAYING" "26" "tBodyAcc-std()-Y" -0.585967142418112
"LAYING" "27" "tBodyAcc-std()-Y" -0.630460488658511
"LAYING" "28" "tBodyAcc-std()-Y" -0.573651895933508
"LAYING" "29" "tBodyAcc-std()-Y" -0.598400275636657
"LAYING" "30" "tBodyAcc-std()-Y" -0.519047387875457
"WALKING" "2" "tBodyAcc-std()-Z" -0.589360062210596
"WALKING" "4" "tBodyAcc-std()-Z" -0.709492735962145
"WALKING" "9" "tBodyAcc-std()-Z" -0.506111776081806
"WALKING" "10" "tBodyAcc-std()-Z" -0.614776952226361
"WALKING" "12" "tBodyAcc-std()-Z" -0.699293531365625
"WALKING" "13" "tBodyAcc-std()-Z" -0.566126913374129
"WALKING_UPSTAIRS" "13" "tBodyAcc-std()-Z" -0.620895906571429
"WALKING_UPSTAIRS" "18" "tBodyAcc-std()-Z" -0.701596039615385
"WALKING_UPSTAIRS" "20" "tBodyAcc-std()-Z" -0.634787346548023
"WALKING_UPSTAIRS" "24" "tBodyAcc-std()-Z" -0.636497458900262
"WALKING_UPSTAIRS" "1" "tBodyAcc-std()-Z" -0.536504094358307
"WALKING_DOWNSTAIRS" "1" "tBodyAcc-std()-Z" -0.116902427035714
"WALKING_DOWNSTAIRS" "3" "tBodyAcc-std()-Z" -0.653625579293255
"WALKING_DOWNSTAIRS" "5" "tBodyAcc-std()-Z" -0.646443640175497
"WALKING_DOWNSTAIRS" "6" "tBodyAcc-std()-Z" -0.672512004586708
"WALKING_DOWNSTAIRS" "7" "tBodyAcc-std()-Z" -0.456473642256981
"WALKING_DOWNSTAIRS" "8" "tBodyAcc-std()-Z" -0.738588327088235
"SITTING" "8" "tBodyAcc-std()-Z" -0.363216848830168
"SITTING" "11" "tBodyAcc-std()-Z" -0.665324314227848
"SITTING" "14" "tBodyAcc-std()-Z" -0.29354271467452
"SITTING" "15" "tBodyAcc-std()-Z" -0.705706623868902
"SITTING" "16" "tBodyAcc-std()-Z" -0.603819902386066
"SITTING" "17" "tBodyAcc-std()-Z" -0.710765044595472
"STANDING" "17" "tBodyAcc-std()-Z" -0.531472983009709
"STANDING" "19" "tBodyAcc-std()-Z" -0.649184726556944
"STANDING" "21" "tBodyAcc-std()-Z" -0.669621813176471
"STANDING" "22" "tBodyAcc-std()-Z" -0.65508967878972
"STANDING" "23" "tBodyAcc-std()-Z" -0.450557203409946
"STANDING" "25" "tBodyAcc-std()-Z" -0.703620787552632
"LAYING" "25" "tBodyAcc-std()-Z" -0.358563807910448
"LAYING" "26" "tBodyAcc-std()-Z" -0.70498062744898
"LAYING" "27" "tBodyAcc-std()-Z" -0.68321532587766
"LAYING" "28" "tBodyAcc-std()-Z" -0.685821415026178
"LAYING" "29" "tBodyAcc-std()-Z" -0.606461283926453
"LAYING" "30" "tBodyAcc-std()-Z" -0.522643273772115
"WALKING" "2" "tGravityAcc-mean()-X" 0.660782866688742
"WALKING" "4" "tGravityAcc-mean()-X" 0.706593043123028
"WALKING" "9" "tGravityAcc-mean()-X" 0.670845545555556
"WALKING" "10" "tGravityAcc-mean()-X" 0.642905730306122
"WALKING" "12" "tGravityAcc-mean()-X" 0.69922245131875
"WALKING" "13" "tGravityAcc-mean()-X" 0.740673476960199
"WALKING_UPSTAIRS" "13" "tGravityAcc-mean()-X" 0.661059461587302
"WALKING_UPSTAIRS" "18" "tGravityAcc-mean()-X" 0.716863248351648
"WALKING_UPSTAIRS" "20" "tGravityAcc-mean()-X" 0.628040637177966
"WALKING_UPSTAIRS" "24" "tGravityAcc-mean()-X" 0.69498126808399
"WALKING_UPSTAIRS" "1" "tGravityAcc-mean()-X" 0.730741616570533
"WALKING_DOWNSTAIRS" "1" "tGravityAcc-mean()-X" 0.905800576071429
"WALKING_DOWNSTAIRS" "3" "tGravityAcc-mean()-X" 0.707814353343108
"WALKING_DOWNSTAIRS" "5" "tGravityAcc-mean()-X" 0.698153719072848
"WALKING_DOWNSTAIRS" "6" "tGravityAcc-mean()-X" 0.688702063569231
"WALKING_DOWNSTAIRS" "7" "tGravityAcc-mean()-X" 0.681289120844156
"WALKING_DOWNSTAIRS" "8" "tGravityAcc-mean()-X" 0.61135636372549
"SITTING" "8" "tGravityAcc-mean()-X" 0.668092950782123
"SITTING" "11" "tGravityAcc-mean()-X" 0.730526184936709
"SITTING" "14" "tGravityAcc-mean()-X" 0.672081224882353
"SITTING" "15" "tGravityAcc-mean()-X" 0.688872511512195
"SITTING" "16" "tGravityAcc-mean()-X" 0.700906130308743
"SITTING" "17" "tGravityAcc-mean()-X" 0.730643531509434
"STANDING" "17" "tGravityAcc-mean()-X" 0.617363413009709
"STANDING" "19" "tGravityAcc-mean()-X" 0.475323016
"STANDING" "21" "tGravityAcc-mean()-X" 0.645775957808823
"STANDING" "22" "tGravityAcc-mean()-X" 0.609390874922118
"STANDING" "23" "tGravityAcc-mean()-X" 0.662324737580645
"STANDING" "25" "tGravityAcc-mean()-X" 0.617567726023392
"LAYING" "25" "tGravityAcc-mean()-X" 0.95220845
"LAYING" "26" "tGravityAcc-mean()-X" 0.615123534668367
"LAYING" "27" "tGravityAcc-mean()-X" 0.627230079867021
"LAYING" "28" "tGravityAcc-mean()-X" 0.62376789513089
"LAYING" "29" "tGravityAcc-mean()-X" 0.683067625610465
"LAYING" "30" "tGravityAcc-mean()-X" 0.696858200678851
"WALKING" "2" "tGravityAcc-mean()-Y" -0.147219886910411
"WALKING" "4" "tGravityAcc-mean()-Y" 0.112591195496986
"WALKING" "9" "tGravityAcc-mean()-Y" -0.0467446999509028
"WALKING" "10" "tGravityAcc-mean()-Y" -0.0740248544557823
"WALKING" "12" "tGravityAcc-mean()-Y" 0.029976775735
"WALKING" "13" "tGravityAcc-mean()-Y" -0.106657735422886
"WALKING_UPSTAIRS" "13" "tGravityAcc-mean()-Y" 0.060921785015873
"WALKING_UPSTAIRS" "18" "tGravityAcc-mean()-Y" -0.01578199625
"WALKING_UPSTAIRS" "20" "tGravityAcc-mean()-Y" -0.0373059475847458
"WALKING_UPSTAIRS" "24" "tGravityAcc-mean()-Y" 0.0729509702152231
"WALKING_UPSTAIRS" "1" "tGravityAcc-mean()-Y" -0.0608347193134796
"WALKING_DOWNSTAIRS" "1" "tGravityAcc-mean()-Y" -0.330026645
"WALKING_DOWNSTAIRS" "3" "tGravityAcc-mean()-Y" -0.0260590480328739
"WALKING_DOWNSTAIRS" "5" "tGravityAcc-mean()-Y" 0.112313109736755
"WALKING_DOWNSTAIRS" "6" "tGravityAcc-mean()-Y" 0.0162055455953846
"WALKING_DOWNSTAIRS" "7" "tGravityAcc-mean()-Y" -0.0420221452496753
"WALKING_DOWNSTAIRS" "8" "tGravityAcc-mean()-Y" 0.174812965882353
"SITTING" "8" "tGravityAcc-mean()-Y" -0.0520150292813408
"SITTING" "11" "tGravityAcc-mean()-Y" 0.0527387028613924
"SITTING" "14" "tGravityAcc-mean()-Y" -0.111701388781115
"SITTING" "15" "tGravityAcc-mean()-Y" 0.102660491875
"SITTING" "16" "tGravityAcc-mean()-Y" -0.0605235993797814
"SITTING" "17" "tGravityAcc-mean()-Y" -0.0102539504528302
"STANDING" "17" "tGravityAcc-mean()-Y" -0.0226900198058252
"STANDING" "19" "tGravityAcc-mean()-Y" 0.0964052626666667
"STANDING" "21" "tGravityAcc-mean()-Y" -0.0750963071446078
"STANDING" "22" "tGravityAcc-mean()-Y" 0.0315098683115265
"STANDING" "23" "tGravityAcc-mean()-Y" 0.0146209197354839
"STANDING" "25" "tGravityAcc-mean()-Y" 0.0880683538245614
"LAYING" "25" "tGravityAcc-mean()-Y" -0.16165490480597
"LAYING" "26" "tGravityAcc-mean()-Y" 0.10870478277551
"LAYING" "27" "tGravityAcc-mean()-Y" 0.032242387143617
"LAYING" "28" "tGravityAcc-mean()-Y" -0.14757775521466
"LAYING" "29" "tGravityAcc-mean()-Y" 0.115489757911628
"LAYING" "30" "tGravityAcc-mean()-Y" 0.0512698188974987
"WALKING" "2" "tGravityAcc-mean()-Z" 0.134865335090728
"WALKING" "4" "tGravityAcc-mean()-Z" 0.164130896618297
"WALKING" "9" "tGravityAcc-mean()-Z" 0.104353653032743
"WALKING" "10" "tGravityAcc-mean()-Z" 0.0552047227876769
"WALKING" "12" "tGravityAcc-mean()-Z" 0.0330295544910625
"WALKING" "13" "tGravityAcc-mean()-Z" 0.0149105014577114
"WALKING_UPSTAIRS" "13" "tGravityAcc-mean()-Z" 0.0911859822215079
"WALKING_UPSTAIRS" "18" "tGravityAcc-mean()-Z" 0.0899901746593407
"WALKING_UPSTAIRS" "20" "tGravityAcc-mean()-Z" 0.10723075947935
"WALKING_UPSTAIRS" "24" "tGravityAcc-mean()-Z" 0.0623227714146982
"WALKING_UPSTAIRS" "1" "tGravityAcc-mean()-Z" 0.086953080507837
"WALKING_DOWNSTAIRS" "1" "tGravityAcc-mean()-Z" -0.0941463448928571
"WALKING_DOWNSTAIRS" "3" "tGravityAcc-mean()-Z" 0.0480937904190616
"WALKING_DOWNSTAIRS" "5" "tGravityAcc-mean()-Z" 0.0921607197449904
"WALKING_DOWNSTAIRS" "6" "tGravityAcc-mean()-Z" 0.0475199990906462
"WALKING_DOWNSTAIRS" "7" "tGravityAcc-mean()-Z" 0.0342160711928604
"WALKING_DOWNSTAIRS" "8" "tGravityAcc-mean()-Z" 0.172297590376696
"SITTING" "8" "tGravityAcc-mean()-Z" 0.0331423877814525
"SITTING" "11" "tGravityAcc-mean()-Z" 0.140209861246835
"SITTING" "14" "tGravityAcc-mean()-Z" -0.161179728291022
"SITTING" "15" "tGravityAcc-mean()-Z" 0.0372897701757012
"SITTING" "16" "tGravityAcc-mean()-Z" 0.0402075536234973
"SITTING" "17" "tGravityAcc-mean()-Z" -0.0471562589226415
"STANDING" "17" "tGravityAcc-mean()-Z" 0.0580703614466019
"STANDING" "19" "tGravityAcc-mean()-Z" 0.233011401195083
"STANDING" "21" "tGravityAcc-mean()-Z" 0.0321851774362745
"STANDING" "22" "tGravityAcc-mean()-Z" 0.23588786398215
"STANDING" "23" "tGravityAcc-mean()-Z" 0.0518662466372043
"STANDING" "25" "tGravityAcc-mean()-Z" 0.276947228143363
"LAYING" "25" "tGravityAcc-mean()-Z" 0.0466790853059701
"LAYING" "26" "tGravityAcc-mean()-Z" 0.234107010472449
"LAYING" "27" "tGravityAcc-mean()-Z" 0.14116869604876
"LAYING" "28" "tGravityAcc-mean()-Z" -0.0469931021049738
"LAYING" "29" "tGravityAcc-mean()-Z" 0.208215370043721
"LAYING" "30" "tGravityAcc-mean()-Z" 0.184343178348037
"WALKING" "2" "tGravityAcc-std()-X" -0.963015508245033
"WALKING" "4" "tGravityAcc-std()-X" -0.962636979274448
"WALKING" "9" "tGravityAcc-std()-X" -0.958784666180555
"WALKING" "10" "tGravityAcc-std()-X" -0.965808126428572
"WALKING" "12" "tGravityAcc-std()-X" -0.96738343446875
"WALKING" "13" "tGravityAcc-std()-X" -0.966599756965174
"WALKING_UPSTAIRS" "13" "tGravityAcc-std()-X" -0.968334171428571
"WALKING_UPSTAIRS" "18" "tGravityAcc-std()-X" -0.980138675796703
"WALKING_UPSTAIRS" "20" "tGravityAcc-std()-X" -0.958201862627119
"WALKING_UPSTAIRS" "24" "tGravityAcc-std()-X" -0.975329699658793
"WALKING_UPSTAIRS" "1" "tGravityAcc-std()-X" -0.960106153793103
"WALKING_DOWNSTAIRS" "1" "tGravityAcc-std()-X" -0.957048614642857
"WALKING_DOWNSTAIRS" "3" "tGravityAcc-std()-X" -0.966457565630499
"WALKING_DOWNSTAIRS" "5" "tGravityAcc-std()-X" -0.964629108807947
"WALKING_DOWNSTAIRS" "6" "tGravityAcc-std()-X" -0.958898709015385
"WALKING_DOWNSTAIRS" "7" "tGravityAcc-std()-X" -0.956538178587662
"WALKING_DOWNSTAIRS" "8" "tGravityAcc-std()-X" -0.974031479117647
"SITTING" "8" "tGravityAcc-std()-X" -0.942988336793296
"SITTING" "11" "tGravityAcc-std()-X" -0.975394457689873
"SITTING" "14" "tGravityAcc-std()-X" -0.941245714736842
"SITTING" "15" "tGravityAcc-std()-X" -0.968733398628049
"SITTING" "16" "tGravityAcc-std()-X" -0.971156432131147
"SITTING" "17" "tGravityAcc-std()-X" -0.974188029698113
"STANDING" "17" "tGravityAcc-std()-X" -0.965554761165049
"STANDING" "19" "tGravityAcc-std()-X" -0.958290447861111
"STANDING" "21" "tGravityAcc-std()-X" -0.965586634460784
"STANDING" "22" "tGravityAcc-std()-X" -0.95850446411215
"STANDING" "23" "tGravityAcc-std()-X" -0.964393040295699
"STANDING" "25" "tGravityAcc-std()-X" -0.946597675643275
"LAYING" "25" "tGravityAcc-std()-X" -0.967471422238806
"LAYING" "26" "tGravityAcc-std()-X" -0.96781789994898
"LAYING" "27" "tGravityAcc-std()-X" -0.974620173404255
"LAYING" "28" "tGravityAcc-std()-X" -0.973873328062827
"LAYING" "29" "tGravityAcc-std()-X" -0.973282885843023
"LAYING" "30" "tGravityAcc-std()-X" -0.974319118563969
"WALKING" "2" "tGravityAcc-std()-Y" -0.960033560165563
"WALKING" "4" "tGravityAcc-std()-Y" -0.941416800167192
"WALKING" "9" "tGravityAcc-std()-Y" -0.949938115208333
"WALKING" "10" "tGravityAcc-std()-Y" -0.95452407255102
"WALKING" "12" "tGravityAcc-std()-Y" -0.9605729084375
"WALKING" "13" "tGravityAcc-std()-Y" -0.954139544527363
"WALKING_UPSTAIRS" "13" "tGravityAcc-std()-Y" -0.952585444126984
"WALKING_UPSTAIRS" "18" "tGravityAcc-std()-Y" -0.969542030412088
"WALKING_UPSTAIRS" "20" "tGravityAcc-std()-Y" -0.952506793418079
"WALKING_UPSTAIRS" "24" "tGravityAcc-std()-Y" -0.96089816664042
"WALKING_UPSTAIRS" "1" "tGravityAcc-std()-Y" -0.951687434539185
"WALKING_DOWNSTAIRS" "1" "tGravityAcc-std()-Y" -0.945034861071429
"WALKING_DOWNSTAIRS" "3" "tGravityAcc-std()-Y" -0.9445645371261
"WALKING_DOWNSTAIRS" "5" "tGravityAcc-std()-Y" -0.939973777950331
"WALKING_DOWNSTAIRS" "6" "tGravityAcc-std()-Y" -0.9509348864
"WALKING_DOWNSTAIRS" "7" "tGravityAcc-std()-Y" -0.955312554090909
"WALKING_DOWNSTAIRS" "8" "tGravityAcc-std()-Y" -0.955704837284314
"SITTING" "8" "tGravityAcc-std()-Y" -0.944310386480447
"SITTING" "11" "tGravityAcc-std()-Y" -0.957138770727848
"SITTING" "14" "tGravityAcc-std()-Y" -0.942377305312693
"SITTING" "15" "tGravityAcc-std()-Y" -0.956369493993902
"SITTING" "16" "tGravityAcc-std()-Y" -0.964727519945355
"SITTING" "17" "tGravityAcc-std()-Y" -0.960680171396226
"STANDING" "17" "tGravityAcc-std()-Y" -0.95399856
"STANDING" "19" "tGravityAcc-std()-Y" -0.95925383425
"STANDING" "21" "tGravityAcc-std()-Y" -0.969330818455882
"STANDING" "22" "tGravityAcc-std()-Y" -0.957323093436449
"STANDING" "23" "tGravityAcc-std()-Y" -0.960318907096774
"STANDING" "25" "tGravityAcc-std()-Y" -0.892577652526316
"LAYING" "25" "tGravityAcc-std()-Y" -0.944533584477612
"LAYING" "26" "tGravityAcc-std()-Y" -0.959713562227041
"LAYING" "27" "tGravityAcc-std()-Y" -0.972505174787234
